title,description,image,type,rating,year
Junjo Romantica 2,The second part of Junjou Romantica continuing the story.,https://cdn.myanimelist.net/images/anime/6/38417l.jpg,Anime,7.66,"Oct 12, 2008 to Dec 28, 2008"
Maid Sama!,"Misaki Ayuzawa is a unique phenomenon within Seika High School. In a predominantly male institution, she became the first-ever female student council president through her honesty and diligence. Ever since Misaki got promoted to the position, she has been working tirelessly to ensure a better school life for all girls. Despite that, Misaki is very strict with the boys, which has earned her the title ""Demon President.""   One day, after hearing a girl cry in the hallway, Misaki encounters Takumi Usui—the most popular boy in the school—as he rejects a love confession. Enraged at what she is seeing, Misaki reprimands him for making the girl cry. However, Usui is indifferent and brushes it off as nothing.  Unexpectedly, Misaki soon runs into Usui again, but this time when she is working at a maid cafe! Embarrassed that someone has found out about her secret occupation, Misaki promises herself not to let Usui destroy her reputation. However, the mysterious boy now begins to visit the same cafe regularly to observe and tease Misaki. When push comes to shove, will Usui still be able to keep the president's secret?  [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/6/25254l.jpg,Anime,7.99,"Apr 2, 2010 to Sep 24, 2010"
Sekai Ichi Hatsukoi - World&#039;s Greatest First Love 2,"An event to show ep.1 of season 2 (along with 1st OVA) happening on September 24, 2011.  Regular TV airing started on October 8, 2011.",https://myanimelist.cdn-dena.com/images/anime/8/34871.jpg,Anime,8.23,"Oct 8, 2011 to Dec 24, 2011"
My Little Monster,"Shizuku Mizutani is apathetic toward her classmates, only caring about her grades. However, her cold view of life begins to change when she meets Haru Yoshida, a violent troublemaker who stopped attending class after getting into a fight early in the school year. He is not much different from her, though—he too understands little about human nature and does not have any friends. Much to Shizuku's surprise, he proclaims that she will be his friend and immediately confesses his feelings toward her upon meeting her.   Because of her lack of friends and social interaction, Shizuku has a hard time understanding her relationship with Haru. But slowly, their friendship begins to progress, and she discovers that there is more to Haru than violence. She begins to  develop feelings for him, but is unsure what kind of emotions she is experiencing. Together, Shizuku and Haru explore the true nature of their relationship and emotions.  [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/4/39779l.jpg,Anime,7.45,"Oct 2, 2012 to Dec 25, 2012"
Bleach,"Bleach adapts the first 54 volumes of Tite Kubo&#039;s manga series of the same name. In addition, 4 anime-original arcs were broadcast in-between and during the adaptations of original arcs of the manga.",https://myanimelist.cdn-dena.com/images/anime/3/40451.jpg,Anime,7.9,"Oct 5, 2004 to Mar 27, 2012"
Chobits,"The original episodes 9 and 18 are ""recap"" episodes, summarizing previous events. These episodes were re-numbered for the DVD release as episodes 8.5 and 16.5, respectively, and removed from their original sequence by being published together on the final DVD.(Source: Wikipedia)",https://myanimelist.cdn-dena.com/images/anime/4/24648.jpg,Anime,7.53,"Apr 3, 2002 to Sep 25, 2002"
Kimi ni Todoke: From Me to You,"Known for her semblance to the Sadako character of The Ring series, Sawako Kuronuma is given the nickname ""Sadako"" and misunderstood to be frightening and malicious like her fictional counterpart, despite having a timid and sweet nature. Longing to make friends and live a normal life, Sawako is naturally drawn to the cheerful and friendly Shouta Kazehaya, the most popular boy in her class. From their first meeting, Sawako has admired Kazehaya's ability to be the center of attention and aspires to be like him.  When Kazehaya organizes a test of courage for the entire class and encourages her to attend, Sawako sees this as an opportunity to get along with her classmates, starting with Ayane Yano and Chizuru Yoshida. Through each new encounter and emotion she experiences, Sawako believes that meeting Kazehaya has changed her for the better. Little does Sawako know, her presence has also changed Kazehaya.  [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1502/124384l.jpg,Anime,8.01,"Oct 7, 2009 to Mar 31, 2010"
Naruto: Shippuden,"It has been two and a half years since Naruto Uzumaki left Konohagakure, the Hidden Leaf Village, for intense training following events which fueled his desire to be stronger. Now Akatsuki, the mysterious organization of elite rogue ninja, is closing in on their grand plan which may threaten the safety of the entire shinobi world.   Although Naruto is older and sinister events loom on the horizon, he has changed little in personality—still rambunctious and childish—though he is now far more confident and possesses an even greater determination to protect his friends and home. Come whatever may, Naruto will carry on with the fight for what is important to him, even at the expense of his own body, in the continuation of the saga about the boy who wishes to become Hokage.  [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1565/111305l.jpg,Anime,8.29,"Feb 15, 2007 to Mar 23, 2017"
Ranma ½,The 2011 live-action adaptation is produced by Nippon Television and is directed by Ryo Nishimura.,https://myanimelist.cdn-dena.com/images/anime/13/6441.jpg,Anime,7.85,"Apr 15, 1989 to Sep 25, 1992"
Toradora!,"Toradora! was selected as a recommended work by the awards jury of the 13th Japan Media Arts Festival in 2009.The light novel was also adapted into video games for PlayStation Portable, published by Namco Bandai Games in 2009.",https://myanimelist.cdn-dena.com/images/anime/13/22128.jpg,Anime,8.39,"Oct 2, 2008 to Mar 26, 2009"
Bakuman.,"As a child, Moritaka Mashiro dreamt of becoming a mangaka, just like his childhood hero and uncle, Tarou Kawaguchi, creator of a popular gag manga. But when tragedy strikes, he gives up on his dream and spends his middle school days studying, aiming to become a salaryman instead.  One day, his classmate Akito Takagi, the school's top student and aspiring writer, notices the detailed drawings in Moritaka's notebook. Seeing the vast potential of his artistic talent, Akito approaches Moritaka, proposing that they become mangaka together. After much convincing, Moritaka realizes that if he is able to create a popular manga series, he may be able to get the girl he has a crush on, Miho Azuki, to take part in the anime adaptation as a voice actor. Thus the pair begins creating manga under the pen name Muto Ashirogi, hoping to become the greatest mangaka in Japan, the likes of which no one has ever seen.  [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/6/26138l.jpg,Anime,8.17,"Oct 1, 2011 to Mar 24, 2012"
Gakuen Alice,"Mikan Sakura is a normal 10-year-old girl. Optimistic, energetic, and overall a very sweet child, Mikan is the complete opposite of the aloof, intelligent, and somewhat cold-hearted, Hotaru Imai. Despite their glaring differences, the two girls have been best friends for a very long time. So when Hotaru suddenly transfers to Alice Academy, a prestigious school in the city, her best friend is devastated—especially when she hears of the horrible rumors regarding the academy's harsh treatment of students. Beset with worry, Mikan runs away to see her best friend!  Upon her arrival, Mikan learns of ""Alices,"" individuals gifted with various supernatural abilities, and that the school is an institution built by the government to train and protect them. Discovering that she has her own unique powers, Mikan enrolls in the academy, and, after a lot of trouble, finally reunites with Hotaru.  Gakuen Alice is a heartwarming comedy that follows Mikan and her friends' adventures in the academy, as well as their attempt to uncover the mysteries surrounding the problematic, fire-wielding student Natsume Hyuuga.  [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/4/18118l.jpg,Anime,7.64,"Oct 30, 2004 to May 14, 2005"
Skip Beat!,"Crunchyroll officially streamed the anime with English subtitles.Aside from the manga and anime there are a series of novels written by Ayuna Fujisaki. There is also a Taiwanese drama named ""Hua Li De Tiao Zhan"" (Extravagant Challenge) inspired by the series, and a total of three drama CDs that cover different parts of the story. ",https://myanimelist.cdn-dena.com/images/anime/11/84022.jpg,Anime,8.24,"Oct 6, 2008 to Mar 30, 2009"
Chihayafuru 2,"Chihaya Ayase is obsessed with developing her school's competitive karuta club, nursing daunting ambitions like winning the national team championship at the Omi Jingu and becoming the Queen, the best female karuta player in Japan—and in extension, the world. As their second year of high school rolls around, Chihaya and her fellow teammates must recruit new members, train their minds and bodies alike, and battle the formidable opponents that stand in their way to the championship title. Meanwhile, Chihaya's childhood friend, Arata Wataya, the prodigy who introduced her to karuta, rediscovers his lost love for the old card game.  [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/6/47435l.jpg,Anime,8.37,"Jan 12, 2013 to Jun 29, 2013"
Shonen Onmyoji,"Masahiro is the grandson of the great onmyouji, Abe no Seimei. However, he lost his sixth sense that enables him to see supernatural beings, which is very important for an onmyouji. Thus, he is left with no choice but to try and pick a different career. But one day, a strange mononoke appears, which he names Mokkun, who shows him his true potential powers after fighting a demon. With the assistance of Mokkun, his quest to become the greatest onmyouji begins.",https://cdn.myanimelist.net/images/anime/1865/106109l.jpg,Anime,7.52,"Oct 3, 2006 to Mar 13, 2007"
Chihayafuru,"Chihayafuru is the anime adaptation of the manga with the same name written and illustrated by Yuki Suetsugu and serialised in the magazine Be Love. Animax Asia released the anime with English subtitles in 2013. The anime will get two live action film adaptations, both scheduled to be released in 2016. The manga won the second Manga Taishou award, and the 35th Kodansha Manga Award in the shoujo category. Chihayafuru has become so popular that it boosted interest in competitive karuta. The manga has sold over 4.5 million copies and has been praised for combining elements of sports and literature. ",https://myanimelist.cdn-dena.com/images/anime/3/35749.jpg,Anime,8.29,"Oct 5, 2011 to Mar 28, 2012"
ItaKiss,"Episode 25 was first aired back-to-back with episode 24 on CBC TV on September 25th, prior to its first airing on TBS (September 27th).",https://myanimelist.cdn-dena.com/images/anime/10/19933.jpg,Anime,7.7,"Apr 5, 2008 to Sep 25, 2008"
Beelzebub,"Ishiyama High is a school populated entirely by delinquents, where nonstop violence and lawlessness are the norm. However, there is one universally acknowledged rule—don't cross first year student Tatsumi Oga, Ishiyama's most vicious fighter.  One day, Oga is by a riverbed when he encounters a man floating down the river. After being retrieved by Oga, the man splits down the middle to reveal a baby, which crawls onto Oga's back and immediately forms an attachment to him. Though he doesn't know it yet, this baby is named Kaiser de Emperana Beelzebub IV, or ""Baby Beel"" for short—the son of the Demon Lord!  As if finding the future Lord of the Underworld isn't enough, Oga is also confronted by Hildegard, Beel's demon maid. Together they attempt to raise Baby Beel—although surrounded by juvenile delinquents and demonic powers, the two of them may be in for more of a challenge than they can imagine.  [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/3/28013l.jpg,Anime,7.84,"Jan 9, 2011 to Mar 25, 2012"
Hanasakeru Seishounen,"Kajika Louisa Kugami Burnsworth is the only daughter of Harry Burnsworth, an influential and respected industrialist who has the power to move the world. There was a threat on Kajika’s life when she was just two years old, and her mother died protecting her. After this tragic incident, Harry sent his only child to an isolated island, Giviolle, where she was raised by the island’s native, Maria. Kajika’s companions during her time there include a white leopard named Mustafa and a boy named Li Ren Fang, who visited her two or three times a year.  Kajika, now fourteen, returns to her father's side, only to be told to begin a game to find her future husband. Harry makes sure that Kajika willingly participates in this game by telling her that she needs to face the harshness of her fate along with the man she chooses to be her husband. She needs to decide among the three candidates that Harry has personally chosen, but it won’t be easy. Kajika must figure out who they are and where they are without any information to go on except that they all possess an irresistible brilliance and charm. All the while, the men aren't even aware that they are the chosen ones. Kajika must also choose wisely, as her partner has to willingly accept her to be his bride.  Hansakeru Seishounen revolves around endearing love, intense passion, noble friendship, undying loyalty, family relations, and political intrigue. The heaviness of Kajika’s fate is real, the threat on Kajika’s life is inevitable, and the husband game is more than just a mere game. Harry needs to find a suitable partner to protect his daughter before someone discovers Kajika’s deep secret—a secret even she is unaware of.",https://cdn.myanimelist.net/images/anime/1094/116584l.jpg,Anime,7.68,"Apr 5, 2009 to Feb 14, 2010"
SKET Dance,"At Kaimei High School there is a special club dedicated to helping others known as the SKET Brigade. The brains of the group is Kazuyoshi ""Switch"" Usui, a tech-savvy otaku who speaks through speech synthesis software, while the brawn is provided by Hime ""Himeko"" Onizuka, the hockey stick-wielding girl once known as ""Onihime.""  And last but not least, their leader is Yuusuke ""Bossun"" Fujisaki, whose latent ability is evoked by his goggles, allowing him to summon the awesome power of extraordinary concentration.    However, most of the school only know them as the club that handles odd jobs. Many of their days are spent in the clubroom slacking off, but when there is something to be done, they give their all to help others—usually in sincere, but unintentionally hilarious, ways. The SKET Brigade do all they can to provide support, kindness, encouragement, and troubleshooting to any students crazy enough to ask for their services.    [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/9/73974l.jpg,Anime,8.2,"Apr 7, 2011 to Sep 27, 2012"
Yamada&#039;s First Time: B Gata H Kei,"After her boyfriend breaks up with her for another girl, college student Akane Kinoshita wrestles with a broken heart and the memories he left behind. Loading up Forest of Savior, the MMO they used to play together, she forms a plan to get back at her ex-boyfriend through an in-person event for the game. In the process, she runs into someone unexpected: Akito Yamada, a gaming legend who just happens to be her guildmate.  Desperate for support, Akane ropes the asocial Yamada into helping with her scheme and lending her a shoulder to cry on. The differences between Akane and Yamada soon become apparent as they spend time together, yet they cannot help but notice each other's inner qualities. As the two gain more experience with one another in and out of the game, their tentative acquaintance may level up in a way neither expects.  [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1298/134178l.jpg,Anime,7.76,"Apr 2, 2010 to Jun 18, 2010"
Shin Chan,"The first English dubbed version was produced with many famous voice actors through 2001&ndash;2002 by Vitello Productions. In 2004, Phuuz Entertainment produced a continuation of the Vitello dub with different Los Angeles-based voice actors. The Phuuz and Vitello dub aired in the United Kingdom, Australia, and Republic of Ireland, and translations of these dubs aired in Europe and Latin America. The dubs were close to the original but had seen some censorship. The English dubbed version by Funimation was produced in 2005, featuring a Texas-based cast of voice actors, and was altered in comparison to the original&mdash;sexual references, dark humor, and references to popular American culture were added later on. Additionally, many non-existent backstories and different personalities were created.Crayon Shin-chan has also been adapted into video games, mobile games and tons of anime movies.",https://myanimelist.cdn-dena.com/images/anime/10/59897.jpg,Anime,7.73,"Apr 13, 1992 to ?"
Fruits Basket,Fruits Basket won the 2001 Animage&#039;s Anime Grand Prix Award. ,https://myanimelist.cdn-dena.com/images/anime/4/75204.jpg,Anime,7.77,"Jul 5, 2001 to Dec 27, 2001"
The Story of Saiunkoku,"Shuurei Kou, the daughter of a noble yet impoverished family, is a clever young lady who dreams of becoming a government official and contributing toward her country. However, her dream is out of her reach as such a position is forbidden to women. While her father works a low wage job as an archivist at the palace, Shuurei has to juggle odd jobs to make ends meet. Then, one day, an unexpected visit changes her life.   Shuurei is called to assist Ryuuki Shi, the new emperor who is known for slacking on his duties and preferring the company of men. Tempted by the generous compensation, she readily accepts the chance to become the young emperor's consort for six months. Luckily, she is not alone as Seiran Shi, her trusty friend, joins her as Ryuuki's bodyguard. While tasked with transforming the new emperor into a responsible ruler, court life and politics prove troublesome as Shuurei faces the challenges of her new life.  Set in a fictional country, Saiunkoku Monogatari centers on the idea of meaningful leadership, its adversities and the rewards that come alongside a prospering nation.  [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1976/139963l.jpg,Anime,7.87,"Apr 8, 2006 to Feb 24, 2007"
One Piece,"Several anime-original arcs have been adapted into light novels, and the series has inspired 40 video games as of 2016.",https://myanimelist.cdn-dena.com/images/anime/6/73245.jpg,Anime,8.54,"Oct 20, 1999 to ?"
Glass Mask,"Two Girls. One Dream. And the entire world for a stage.  At 13 years old, Maya Kitajima seems destined to spend the rest of her life toiling in a crowded restaurant alongside her bitter and unstable mother. But when her incredible acting talent is discovered by the legendary diva Chigusa Tsukikage, Maya finds a new future filled with both golden opportunities and terrifying risks.   For Ayumi Himekawa, success has always been assured, yet she longs to be recognized for her own talents and skills, not her famous parents' connections.   For both, the ultimate prize is the role of The Crimson Goddess in the play of the same name, a part created by Chigusa. To achieve this goal, both Maya and Ayumi must seek out and conquer every acting challenge, pushing the limits of their talent and endurance to the utmost, until they are worthy of the part…  But for one to win, the other must fail!   (Source: Sentai Filmworks)",https://cdn.myanimelist.net/images/anime/7/75061l.jpg,Anime,8.02,"Apr 6, 2005 to Mar 29, 2006"
Air Gear,"Air Trecks, also known as AT, are motorized and futuristic inline skates that are the new craze taking the nation by storm. Although each AT comes with a speed limiter, a community of daredevils known as the ""Storm Riders"" are brave enough to tamper with the device. Utilizing AT's in underground battles, individual teams wager valuable AT parts or team emblems—their symbol of pride—to dominate the streets.  Living in this era is Itsuki Minami, a middle school student notorious for engaging in street fights. Always wanting to reach heights no one else is able to, the reckless punk will break through any obstacle that stands in his way, alongside his best friends Kazuma Mikura and Onigiri. However, it is when he discovers a pair of Air Trecks in his house that the path to his true desire finally opens: to rule the skies.  [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/11/18227l.jpg,Anime,7.48,"Apr 5, 2006 to Sep 27, 2006"
Tales of Saiunkoku,"Shuurei Kou and her friend Eigetsu To, a boy prodigy of humble origins, have been appointed co-governors of the Sa province, one of the eight provinces in Saiunkoku. Together, they decide to make the province an academic research center in the hopes of bringing a long overdue prosperity to the region.  However, while Shuurei goes to the capital to obtain approvals for the ambitious project, the Sa province's recently established tranquility is threatened by a pandemic that brings both death and turmoil as it begins to spread among the people. Counting on Eigetsu to monitor the situation until her return, Shuurei seeks support from her allies to find a suitable treatment. Yet, Eigetsu's past personal conflicts distract him, providing an opportunity for opponents of Shuurei's position to take advantage of the troubles and undermine her authority.  Becoming a government official has been Shuurei's lifelong dream, but it is no easy task for the first woman undertaking such a position. Will she step up and overcome this great challenge or give in to the looming adversities?  [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1998/139962l.jpg,Anime,8.0,"Apr 7, 2007 to Mar 8, 2008"
InuYasha,"The anime won the &ldquo;Property of the Year&rdquo; award in ICv2&rsquo;s Anime Awards for both 2004 and 2005, and received third place in Animage&rsquo;s Anime Grand Prix &ldquo;Best Anime&rdquo; category in 2003.",https://myanimelist.cdn-dena.com/images/anime/8/20483.jpg,Anime,7.9,"Oct 16, 2000 to Sep 13, 2004"
Chu-Bra,"Nayu Hayama makes quite an impression on everyone at Ounan Middle School when she trips while attempting to get on stage to make a speech. The unfortunate incident causes Nayu to flash her unusual underwear in front of the entire freshman class, marking an eventful start to the school year.  Underwear is Nayu’s passion, and she believes that possessing a good selection of them is important to women of all ages. However, her desire to spread this wisdom to her classmates and teachers is not an easy task to accomplish. Not only does her odd hobby circulate embarrassing and uncomfortable rumors, but it also leads to unwanted attention from the opposite sex. With obstacles to her underwear school revolution beginning to mount, Nayu has her work cut out for her.  [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1130/91352l.jpg,Anime,6.19,"Jan 4, 2010 to Mar 22, 2010"
Nodame Cantabile Finale,"Shinichi Chiaki is quickly making a name for himself as the principal conductor of the revitalized Roux-Marlet Orchestra, and Megumi ""Nodame"" Noda has made leaps and bounds as a pianist at the Conservatoire de Paris. However, tensions mount between the two as Nodame feels left behind by Chiaki's growing success and his close friendship with legendary piano prodigy Rui Son. Disregarding her teacher Professor Charles Auclair's advice, Nodame enters another piano competition in an attempt to jumpstart her own performance career.   Meanwhile, those around Chiaki and Nodame are at their own crossroads. Rui begins to doubt herself after hearing Nodame's playing and being denied tutelage from Auclair; Maestro Franz von Stresemann faces the reality of his mortality; pianists Yunlong Li and Tatiana Vishneva feverishly prepare for a competition, while the latter also struggles with her growing feelings for oboist and fellow student Yasunori Kuroki.   As Chiaki, Nodame, and their friends continue on their respective journeys, they must not only strive to stay true to themselves, but also remember where it all started.  [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1084/119096l.jpg,Anime,8.22,"Jan 15, 2010 to Mar 26, 2010"
Ghost Hunt,"While at school, Mai Taniyama and her friends like to exchange ghost stories. Apparently, there is an abandoned school building on their campus that is the center of many ghost stories. During the story, they are interrupted by a mysterious male figure. The person turns out to be Kazuya Shibuya, a 17-year-old who is president of the Shibuya Psychic Research Company. He was called by the principal to investigate the stories surrounding the abandoned school building.  The next day, on the way to school, Mai passes the school building in question. While examining a strange camera she spotted inside, she gets surprised by Kazuya's assistant. Unknowingly interfering with the investigation, Mai breaks the camera and Kazuya's assistant gets injured.  Kazuya forcefully hires Mai in order to pay for the camera and replace his injured assistant. From that point on, Mai begins to learn about the paranormal world and the profession of ghost hunting.  [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/11/73908l.jpg,Anime,7.74,"Oct 4, 2006 to Mar 28, 2007"
Accel World,"Accel World adapts the first 4 novels of Reki Kawahara&#039;s light novel series of the same title, as well as content from the 10th novel.",https://myanimelist.cdn-dena.com/images/anime/8/38155.jpg,Anime,7.53,"Apr 7, 2012 to Sep 22, 2012"
Bakuman.,"Bakuman. was licensed by Media Blasters in North America, but only released  one 2-disc DVD containing the first 7 episodes, the rest of the releases were cancelled. ",https://myanimelist.cdn-dena.com/images/anime/6/26138.jpg,Anime,8.32,"Oct 2, 2010 to Apr 2, 2011"
Nodame Cantabile,,https://myanimelist.cdn-dena.com/images/anime/9/11986.jpg,Anime,8.41,"Jan 12, 2007 to Jun 15, 2007"
Kamisama Kiss,"High schooler Nanami Momozono has quite a few problems of late, beginning with her absentee father being in such extreme debt that they lose everything. Downtrodden and homeless, she runs into a man being harassed by a dog. After helping him, she explains her situation, and to her surprise, he offers her his home in gratitude. But when she discovers that said home is a rundown shrine, she tries to leave; however, she is caught by two shrine spirits and a fox familiar named Tomoe. They mistake her for the man Nanami rescued—the land god of the shrine, Mikage. Realizing that Mikage must have sent her there as a replacement god, Tomoe leaves abruptly, refusing to serve a human.  Rather than going back to being homeless, Nanami immerses herself in her divine duties. But if she must keep things running smoothly, she will need the help of a certain hot-headed fox. In her fumbling attempt to seek out Tomoe, she lands in trouble and ends up sealing a contract with him. Now the two must traverse the path of godhood together as god and familiar; but it will not be easy, for new threats arise in the form of a youkai who wants to devour the girl, a snake that wants to marry her, and Nanami's own unexpected feelings for her new familiar.  [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/3/85429l.jpg,Anime,8.12,"Oct 2, 2012 to Dec 25, 2012"
Cardcaptor Sakura,Cardcaptor Sakura won the Animage Grand Prix award for Best Anime in 1999.,https://myanimelist.cdn-dena.com/images/anime/8/60781.jpg,Anime,8.21,"Apr 7, 1998 to Mar 21, 2000"
